sample_id	Site	Layer	Biome	longitude	latitude	AI	MAT	NDVI	SR	HF
SUR_1	S01	SUR	Swamp meadow	97.67384444	34.13854444	0.7	-2.9	0.53	29	12.82
SUR_2	S02	SUR	Swamp meadow	97.84798056	34.25629722	0.63	-2.8	0.48	27	15.34
SUR_3	S03	SUR	Swamp meadow	97.94497222	34.43593333	0.47	-2.8	0.46	25	15.53
SUR_4	S04	SUR	Swamp meadow	97.54224167	34.02279444	0.61	-3	0.44	26	16.99
SUR_5	S05	SUR	Swamp meadow	98.68996667	35.05655833	0.52	-0.5	0.4	27	16.65
SUR_6	S06	SUR	Swamp meadow	99.05534722	34.79526389	0.68	-1.2	0.55	30	13.05
SUR_7	S07	SUR	Swamp meadow	99.24463056	34.2023	0.57	-2.8	0.61	27	21.27
SUR_8	S08	SUR	Swamp meadow	99.14692222	34.53605278	0.58	-1.7	0.56	27	20.12
SUR_9	S09	SUR	Swamp meadow	99.11540278	34.67334722	0.63	-1.3	0.52	24	17.42
SUR_10	S10	SUR	Alpine meadow	99.50231389	35.49283889	0.57	1.8	0.61	20	22.04
SUR_11	S11	SUR	Alpine meadow	98.16570556	38.57809167	0.32	-0.4	0.34	18	17.71
SUR_12	S12	SUR	Swamp meadow	98.27240556	38.3197	0.37	-1	0.44	20	17.53
SUR_13	S13	SUR	Swamp meadow	98.43796389	37.84548889	0.32	0.1	0.48	20	20.53
SUR_15	S14	SUR	Alpine meadow	91.85849444	33.25873611	0.39	-2.6	0.4	23	13.39
SUR_16	S15	SUR	Alpine meadow	91.86043333	32.58334444	0.52	-1.8	0.55	17	14.93
SUR_17	S16	SUR	Swamp meadow	91.98801667	32.961325	0.52	-2.1	0.26	27	12.22
SUR_18	S17	SUR	Alpine meadow	92.51825278	34.29519722	0.26	-3.5	0.22	17	11.64
SUR_19	S18	SUR	Alpine meadow	92.90681111	34.68533889	0.37	-3.7	0.35	21	18.09
SUR_20	S19	SUR	Alpine meadow	92.90680278	34.68653611	0.37	-3.7	0.41	21	18.09
SUR_21	S20	SUR	Alpine meadow	92.93986667	34.86235556	0.27	-3.9	0.39	18	18.35
SUR_22	S21	SUR	Alpine steppe	93.04473056	35.17694722	0.28	-4.5	0.19	20	16.04
SUR_24	S22	SUR	Alpine steppe	94.06586389	35.62498889	0.3	1.3	0.12	15	9.14
SUB_1	S01	SUB	Swamp meadow	97.67384444	34.13854444	0.7	-2.9	0.53	29	12.82
SUB_2	S02	SUB	Swamp meadow	97.84798056	34.25629722	0.63	-2.8	0.48	27	15.34
SUB_3	S03	SUB	Swamp meadow	97.94497222	34.43593333	0.47	-2.8	0.46	25	15.53
SUB_4	S04	SUB	Swamp meadow	97.54224167	34.02279444	0.61	-3	0.44	26	16.99
SUB_5	S05	SUB	Swamp meadow	98.68996667	35.05655833	0.52	-0.5	0.4	27	16.65
SUB_6	S06	SUB	Swamp meadow	99.05534722	34.79526389	0.68	-1.2	0.55	30	13.05
SUB_7	S07	SUB	Swamp meadow	99.24463056	34.2023	0.57	-2.8	0.61	27	21.27
SUB_8	S08	SUB	Swamp meadow	99.14692222	34.53605278	0.58	-1.7	0.56	27	20.12
SUB_9	S09	SUB	Swamp meadow	99.11540278	34.67334722	0.63	-1.3	0.52	24	17.42
SUB_10	S10	SUB	Alpine meadow	99.50231389	35.49283889	0.57	1.8	0.61	20	22.04
