OTUID	PL_1	PL_10	PL_11	PL_12	PL_13	PL_15	PL_16	PL_17	PL_18	PL_19	PL_2	PL_20	PL_21	PL_22	PL_24	PL_3	PL_4	PL_5	PL_6	PL_7	PL_8	PL_9	SUB_1	SUB_10	SUB_11	SUB_12	SUB_13	SUB_15	SUB_16	SUB_17	SUB_18	SUB_19	SUB_2	SUB_20	SUB_21	SUB_22	SUB_24	SUB_3	SUB_4	SUB_5	SUB_6	SUB_7	SUB_8	SUB_9	SUR_1	SUR_10	SUR_11	SUR_12	SUR_13	SUR_15	SUR_16	SUR_17	SUR_18	SUR_19	SUR_2	SUR_20	SUR_21	SUR_22	SUR_24	SUR_3	SUR_4	SUR_5	SUR_6	SUR_7	SUR_8	SUR_9
ASV_1	629	322	445	338	128	0	87	168	184	273	47	28	101	77	3	1388	224	978	863	177	253	424	106	372	395	372	705	1019	650	723	340	84	603	21	788	0	6	555	1495	475	313	465	1269	1539	120	265	64	285	346	164	609	283	71	39	128	22	389	0	0	340	383	199	229	221	467	323
ASV_2	129	10	121	3	6	7	49	3	452	33	49	46	48	267	50	12	26	27	12	7	1	3	89	90	934	10	70	301	180	75	128	222	123	894	603	506	1373	280	1909	244	12	9	34	6	1593	247	37	20	277	119	178	455	135	1275	1259	421	398	599	1003	253	3648	664	70	39	173	66
ASV_3	1265	433	167	130	202	0	51	92	235	352	74	65	122	154	8	365	331	121	128	20	293	74	157	334	2859	209	641	550	253	401	632	272	771	80	1384	8	65	388	592	495	321	67	85	135	142	565	138	142	237	302	43	113	366	412	161	89	570	2	0	199	49	319	130	32	144	118
ASV_4	226	23	3	11	1	0	17	2	15	0	1	5	0	423	0	18	17	7	11	31	4	6	2	100	27	15	3	71	3	8	0	15	16	4	1	0	0	53	32	2	17	20	342	3	104	298	70	967	85	865	279	358	0	91	1598	166	5	2	0	1322	1444	203	787	2941	2576	672
ASV_5	4217	198	413	64	105	0	21	31	36	29	222	17	20	5	0	232	421	1330	1063	31	1053	1377	364	71	47	28	145	365	52	154	59	41	257	6	74	0	0	451	41	190	333	63	144	210	17	9	4	2	57	8	7	21	4	31	2	7	30	0	0	25	3	16	37	1	1	1
ASV_6	138	328	120	322	218	0	377	153	8	38	30	56	24	19	22	211	393	546	265	1655	67	64	106	382	476	161	78	155	167	652	19	112	176	108	26	65	86	139	697	139	257	85	96	405	37	186	94	70	36	30	298	64	22	13	85	30	2	6	11	71	184	104	47	8	55	79
ASV_8	33	12	6	0	1	0	0	2	1	7	0	5	0	64	0	41	5	16	18	139	6	7	0	18	21	18	4	99	0	2	13	9	0	3	3	0	0	153	31	1	24	21	216	1	16	41	110	286	172	690	60	115	4	42	11	37	44	0	0	2129	461	228	1383	2490	878	563
ASV_7	570	85	176	33	38	0	1	5	16	4062	3	21	12	2	0	226	19	138	51	24	255	27	122	101	180	8	60	21	19	156	55	62	395	59	92	9	9	305	69	224	78	7	215	26	89	113	64	60	139	33	44	114	29	47	109	72	155	38	0	171	174	145	103	167	144	148
ASV_9	1495	10	436	27	31	0	7	8	0	9	195	0	12	0	1	2103	227	11	178	10	1413	1173	294	51	43	3	26	23	22	57	0	0	185	0	10	0	0	519	15	1	1074	4	19	106	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	5	0	0	1
ASV_10	9	0	135	0	4	1	2	1	17	0	7387	18	1	18	0	0	0	3	0	0	0	0	0	3	40	0	1	1	7	2	0	6	6	6	0	26	261	1	44	5	5	0	28	2	5	1	3	3	1	3	10	3	0	1	27	6	0	6	1	0	10	3	0	6	11	11
ASV_11	15	1	13	3	5	0	0	0	102	6	0	123	14	0	3	1	1	10	0	0	0	0	4	47	88	0	121	7	1	19	3709	69	1	466	1210	4	0	8	0	1	0	0	0	1	28	0	0	0	13	1	1	1	900	64	0	131	44	1	0	22	0	116	3	1	0	0
ASV_13	3	5	516	55	127	418	1	12	322	32	4	13	72	433	32	2393	8	6	1	0	20	5	0	13	229	17	182	385	18	63	441	12	8	12	190	1	1	322	35	124	23	6	66	1	0	0	10	0	41	8	1	11	94	2	0	2	101	0	0	2	0	8	2	0	0	0
ASV_12	0	0	0	0	1	6307	0	0	234	0	3	2	10	306	0	1	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0
ASV_16	188	86	236	21	74	1	21	46	724	156	96	67	55	273	3	567	13	19	73	11	274	108	76	41	67	9	263	159	169	308	184	127	174	147	258	24	119	142	61	64	490	38	88	99	16	12	0	11	65	5	10	55	73	99	15	15	104	9	0	22	6	11	16	2	3	4
ASV_15	71	18	16	62	27	0	30	25	0	11	10	74	2	2	14	14	79	15	22	51	19	29	23	55	6	81	21	10	273	71	0	25	198	359	35	107	5	0	158	4	15	204	57	848	92	121	2	112	56	134	326	79	1	23	247	462	3	1	46	131	256	76	24	49	1037	167
