Taxa	Reaction	Freq
Acidobacteriota	C-S-01:Organic carbon oxidation	0.0192118688854301
Acidobacteriota	C-S-04:Acetate oxidation	0.0193411560926999
Acidobacteriota	C-S-05:Hydrogen generation	0.0162895383489423
Acidobacteriota	C-S-06:Fermentation	0.0192118688854301
Acidobacteriota	C-S-08:Methanotrophy	0.0195325773561326
Acidobacteriota	C-S-09:Hydrogen oxidation	0.0186446136699516
Acidobacteriota	N-S-04:Nitrate reduction	0.0171658597121934
Acidobacteriota	N-S-05:Nitrite reduction	0.0149855285746472
Acidobacteriota	N-S-06:Nitric oxide reduction	0.0217996941985119
Acidobacteriota	N-S-07:Nitrous oxide reduction	0.0168685663418654
Acidobacteriota	N-S-08:Nitrite ammonification	0.0162389355127238
Acidobacteriota	O-S-01:Iron reduction	0.0190533152842287
Acidobacteriota	O-S-02:Iron oxidation	0.0206241279943962
Acidobacteriota	O-S-03:Arsenate reduction	0.0244496104123715
Acidobacteriota	O-S-05:Selenate reduction	0.0315802543646215
Acidobacteriota	S-S-03:Sulfur oxidation	0.0180764616491348
Acidobacteriota	S-S-04:Sulfite oxidation	0.0139757898376962
Acidobacteriota	S-S-05:Sulfate reduction	0.0139757898376962
Acidobacteriota	S-S-08:Thiosulfate disproportionation 1	0.0485036966074034
Acidobacteriota	S-S-09:Thiosulfate disproportionation 2	0.0279867055899937
Actinobacteriota	C-S-01:Organic carbon oxidation	0.0361984711942949
Actinobacteriota	C-S-02:Carbon fixation	0.0243599213942139
Actinobacteriota	C-S-04:Acetate oxidation	0.0326828993003401
Actinobacteriota	C-S-05:Hydrogen generation	0.0358520790229727
Actinobacteriota	C-S-06:Fermentation	0.0380711663563903
Actinobacteriota	C-S-08:Methanotrophy	0.0358430546003433
Actinobacteriota	C-S-09:Hydrogen oxidation	0.0352877432164263
Actinobacteriota	N-S-04:Nitrate reduction	0.0408417333438392
Actinobacteriota	N-S-05:Nitrite reduction	0.0240042826817237
Actinobacteriota	N-S-06:Nitric oxide reduction	0.0292847882106967
Actinobacteriota	N-S-07:Nitrous oxide reduction	0.0696374588259803
Actinobacteriota	N-S-08:Nitrite ammonification	0.0285535828416891
Actinobacteriota	O-S-01:Iron reduction	0.0338148781889186
Actinobacteriota	O-S-02:Iron oxidation	0.0665444544008106
Actinobacteriota	O-S-05:Selenate reduction	0.0182359890125507
Actinobacteriota	S-S-01:Sulfide oxidation	0.0756093958308967
