Taxa	Reaction	Freq
Acidobacteriota	C-S-01:Organic carbon oxidation	0.02540568
Acidobacteriota	C-S-02:Carbon fixation	0.042454774
Acidobacteriota	C-S-04:Acetate oxidation	0.023498017
Acidobacteriota	C-S-05:Hydrogen generation	0.016584255
Acidobacteriota	C-S-06:Fermentation	0.02540568
Acidobacteriota	C-S-09:Hydrogen oxidation	0.029184174
Acidobacteriota	N-S-04:Nitrate reduction	0.025430254
Acidobacteriota	N-S-05:Nitrite reduction	0.024731661
Acidobacteriota	N-S-06:Nitric oxide reduction	0.028083613
Acidobacteriota	N-S-07:Nitrous oxide reduction	0.013313724
Acidobacteriota	N-S-08:Nitrite ammonification	0.036787163
Acidobacteriota	O-S-01:Iron reduction	0.023137124
Acidobacteriota	O-S-02:Iron oxidation	0.025463662
Acidobacteriota	O-S-03:Arsenate reduction	0.019952253
Acidobacteriota	O-S-05:Selenate reduction	0.037627748
Acidobacteriota	S-S-03:Sulfur oxidation	0.024378211
Acidobacteriota	S-S-04:Sulfite oxidation	0.014876192
Acidobacteriota	S-S-05:Sulfate reduction	0.014876192
Acidobacteriota	S-S-06:Sulfite reduction	0.011441942
Acidobacteriota	S-S-08:Thiosulfate disproportionation 1	0.011441942
Acidobacteriota	S-S-09:Thiosulfate disproportionation 2	0.024466924
Actinobacteriota	C-S-01:Organic carbon oxidation	0.039160537
Actinobacteriota	C-S-02:Carbon fixation	0.054398838
Actinobacteriota	C-S-04:Acetate oxidation	0.04177881
Actinobacteriota	C-S-05:Hydrogen generation	0.05952894
Actinobacteriota	C-S-06:Fermentation	0.040682696
Actinobacteriota	C-S-08:Methanotrophy	0.164864679
Actinobacteriota	C-S-09:Hydrogen oxidation	0.056108926
Actinobacteriota	N-S-03:Nitrite oxidation	0.076956886
Actinobacteriota	N-S-04:Nitrate reduction	0.041342616
Actinobacteriota	N-S-05:Nitrite reduction	0.02837423
Actinobacteriota	N-S-06:Nitric oxide reduction	0.046174269
Actinobacteriota	N-S-07:Nitrous oxide reduction	0.059559577
Actinobacteriota	N-S-08:Nitrite ammonification	0.034932862
Actinobacteriota	O-S-01:Iron reduction	0.032517035
Actinobacteriota	O-S-03:Arsenate reduction	0.021802343
Actinobacteriota	O-S-05:Selenate reduction	0.009404585
Actinobacteriota	S-S-01:Sulfide oxidation	0.007724987
Actinobacteriota	S-S-03:Sulfur oxidation	0.049100687
Actinobacteriota	S-S-04:Sulfite oxidation	0.046233527
Actinobacteriota	S-S-05:Sulfate reduction	0.046233527
Actinobacteriota	S-S-06:Sulfite reduction	0.029503985
Actinobacteriota	S-S-08:Thiosulfate disproportionation 1	0.028903803
Alphaproteobacteria	C-S-01:Organic carbon oxidation	0.033848579
Alphaproteobacteria	C-S-02:Carbon fixation	0.046950779
Alphaproteobacteria	C-S-04:Acetate oxidation	0.033848579
Alphaproteobacteria	C-S-06:Fermentation	0.033848579
Alphaproteobacteria	N-S-04:Nitrate reduction	0.029181655
Alphaproteobacteria	O-S-01:Iron reduction	0.036959862
Alphaproteobacteria	O-S-02:Iron oxidation	0.029181655
Alphaproteobacteria	O-S-05:Selenate reduction	0.029181655
Alphaproteobacteria	S-S-03:Sulfur oxidation	0.033848579
Atribacterota	C-S-01:Organic carbon oxidation	0.04765119
Atribacterota	C-S-05:Hydrogen generation	0.04765119
