Genomic bins	SUB_2	SUB_3	SUB_1	SUB_6	SUB_7	SUB_4	SUB_5	SUR_21	SUR_20	SUB_8	SUB_9	SUR_24	PL_15	SUR_3	PL_17	PL_16	PL_11	SUR_7	SUR_4	PL_12	SUR_8	SUR_9	PL_19	PL_18	PL_5	PL_4	PL_7	PL_6	PL_1	PL_3	PL_2	PL_9	PL_8	SUR_22	SUR_15	SUR_16	SUR_17	SUR_10	SUR_11	SUR_12	SUR_13	SUB_21	SUB_20	SUB_22	SUR_18	SUB_24	SUR_19	SUR_1	SUR_6	PL_10	PL_13	PL_24	SUR_5	PL_20	PL_21	PL_22	SUR_2	SUB_15	SUB_16	SUB_17	SUB_10	SUB_11	SUB_12	SUB_13	SUB_18	SUB_19
s_PL_2_7	0.310387	0.282207	0.015241	0.729032	0.0	0.041714	0.119324	0.279035	0.035502	0.04466	0.111923	0.0	1.931725	0.028018	0.393648	1.180612	0.859543	0.0	0.0	0.138865	0.0	0.0	4.215301	3.863028	0.280973	0.985711	0.084143	0.177737	0.095533	1.176477	30.749091	0.615499	1.044174	0.0	0.0	0.015905	0.027335	0.0	0.0	0.0	0.090162	0.121667	0.082139	0.122168	0.150776	0.0	0.194606	0.059906	0.031931	0.017315	0.945438	0.20872	0.0	5.054177	0.609383	0.294477	0.0	0.113182	0.101445	0.171084	0.0	0.04604	0.0	0.252093	0.215929	0.152994
s_PL_19_5	0.7584	0.721977	1.261141	2.314064	0.381374	0.448414	1.063876	1.475906	0.785999	0.491735	0.592552	0.481516	9.349204	0.498834	1.429002	1.7107175	2.782042	0.254253	0.338956	0.580339	0.300772	0.359019	21.05937	12.398196500000001	0.290155	0.583073	0.1978165	0.259142	3.509823	1.530576	18.194125	0.774426	1.154312	0.81653	0.375917	0.313162	0.722831	0.5718785	1.1290515	0.349949	0.912502	1.374543	1.203234	1.373586	1.516991	1.217521	1.968493	1.069229	0.47817	0.481227	1.486695	0.791644	0.63085	4.064156	0.900357	2.964927	0.578348	0.743664	1.386574	1.123598	0.598561	0.60729	0.290658	1.438193	2.174987	0.927227
s_SUB_3_19	23.74513	45.948453	116.597172	46.356326	1.399421	4.05046	1.942238	0.684612	0.268265	3.776279	5.168241	0.119165	1.691168	0.315911	2.167753	0.894131	53.182083	0.149073	0.228228	2.338044	0.194389	0.242267	1.326408	0.62981	1.897581	32.192555	0.66344	12.7851	32.201105	88.687326	3.982009	14.748394	13.274267	0.218364	0.191604	0.225663	0.213978	0.320709	0.502074	0.19739	0.635075	2.241106	0.235359	0.51007	0.649388	0.475731	0.446077	0.544774	0.315294	10.358725	3.88602	0.333091	0.36723	0.270078	3.829491	0.088536	0.213356	7.171426	0.740347	9.086043	6.762761	7.889841	0.667762	4.446183	1.305848	0.248163
s_SUB_8_2	13.152494	10.401468000000001	10.884509	43.940834	28.041765	26.897385	5.065648	7.318698	5.887186	38.324775	76.921173	8.090041	2.173935	3.148561	9.134448	13.105067	4.373219	2.595712	6.173841	8.771977	3.683128	6.79721	3.088818	3.226477	6.264238	5.549538	15.801148	4.568693	5.299928	3.967352	1.377262	4.836157	4.909501	8.471767	4.829369	27.3167305	11.657018	11.456146	8.11273	5.634551	6.30881	8.219286499999999	7.681658	6.470584	9.661549	5.978807	7.394855	9.9363955	6.009394	33.383133	8.391088	6.306417	7.468274	5.964273	3.822908	2.032882	8.17978	7.212011	39.347235	25.117426	41.419232	14.232771	14.099315	6.449944	6.987817	10.452429
s_SUB_2_11	28.00097	14.130163	55.597897	35.264247	0.233125	0.072369	0.0	0.0	0.0	3.13679	2.437893	0.0	0.041394	0.0	0.0	0.186541	3.89205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048338	5.672097	0.074656	2.674121	62.587523	7.243781	7.53448	17.507331	25.036058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279363	0.524741	0.05068	0.01639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.235339	0.647351	0.0	0.0	0.0	0.0
s_SUB_6_19	0.9189555	9.845213	1.654406	11.723522	0.103478	0.507287	0.0	0.0	0.0	1.407421	0.865244	0.0	0.0	0.136237	0.049995	0.096782	1.120347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.527255	0.0609475	0.469974	0.436794	9.060983	0.202329	11.894265	3.421449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0239205	0.0	0.0	0.0	0.0	0.0	0.0	0.30951	0.214686	0.311981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.070634	0.0	0.409172	1.06399	0.457906	5e-06	0.3251755	0.0	0.0
s_PL_7_20	0.470128	0.0	0.110531	0.163051	0.427424	0.733333	1.185913	0.0	6.462213	0.675731	0.144058	0.0	0.595114	0.580247	2.440159	3.547473	0.452378	2.389563	4.145771	4.096872	2.388622	2.597765	1.068759	0.561056	2.727912	1.354141	14.735283	2.894709	0.334034	0.519487	0.0	0.260967	0.137101	1.563243	1.782896	8.549389	4.985539	4.164464	0.171933	8.525427	0.445114	0.273131	4.054502	6.999392	0.0	1.674473	6.433803	0.0	0.489524	4.191773	3.42712	0.573809	0.0	2.622289	0.255925	0.0	5.033686	0.0	2.02277	1.331072	1.863566	0.142348	0.171697	1.569292	1.068295	5.859969
s_SUR_12_8	0.0	0.373574	0.0	0.4772705	0.703553	0.5162465	0.9440075	0.0	5.0282185	1.421904	0.0	0.0	1.215132	3.2464895	0.5297175000000001	2.4723990000000002	0.9448025	6.333509	9.5624825	1.2533715	5.450348	3.8785215	1.4457155	0.0	5.159128	1.8467275	1.4059270000000001	4.390035	0.9571335	1.084918	0.0	0.7338165	0.266066	0.0	4.049652	2.968432	7.853094499999999	1.397877	0.198008	11.961306	1.0630685	0.0	2.145157	1.9097975	0.0	0.591463	2.138579	0.0	1.4170124999999998	1.3023555	2.0467855	0.0	0.9764485	2.280135	0.29522	0.0	1.1663475	0.0	0.0	0.566309	0.319543	0.0	0.0	0.0	0.547182	1.7327225
s_SUB_12_16	13.504949	0.607726	4.449311	1.72151	22.624306	6.746122	1.280429	0.758373	7.459623	11.488978	21.904623	1.169237	2.235819	3.635207	6.624102	5.961811	0.493698	7.149818	6.940022	6.590021	9.335835	11.521733	1.526831	0.209159	1.322316	5.487555	3.375028	1.388636	2.713861	0.679749	1.55923	3.619921	2.659705	1.565494	5.804796	11.498918	10.048851	9.808673	0.76482	10.864955	4.033893	1.403615	11.326228	8.867902	0.267293	7.315014	1.022429	8.832386	5.039395	2.162583	2.786636	1.140629	3.505781	9.564942	0.370991	1.527394	12.863335	1.48753	15.231849	6.904206	4.528901	0.547521	18.953628	2.255176	0.229882	3.080336
s_PL_18_1	2.084706	3.102559	3.476865	5.371332	0.701932	1.741605	5.140873	3.09384	1.508375	0.978049	0.872076	0.778407	51.95598	0.864031	2.187812	2.102398	5.101726	0.56232	0.649362	1.099909	0.638355	0.604765	5.60821	140.070803	0.7107	2.568029	0.499417	1.595275	1.293664	10.647112	108.803483	2.764792	7.758503	1.513529	0.737897	0.541246	1.060256	0.997938	2.122953	0.612366	1.646249	2.705576	1.243639	2.728925	2.90033	2.219891	2.63873	1.950371	0.694055	0.86758	1.8496	1.476362	1.453511	3.748912	2.864304	5.927645	0.991193	1.365436	1.960157	3.599258	1.214241	1.67984	0.61665	3.959881	9.876486	1.139146
s_PL_7_22	1.167353	4.907995	0.916049	1.048786	17.60549	7.249056	10.241451	2.338177	2.640032	6.502054	2.753764	4.638272	1.227258	1.194263	2.940655	1.262942	4.589114	1.172255	1.746754	2.449109	1.44146	1.710394	1.906354	9.072235	1.993709	2.219732	33.068664	0.607001	0.537191	0.821611	0.243301	0.373873	1.068963	3.865826	1.982587	1.390904	2.432444	1.759011	6.165014	1.52775	2.0471	1.67006	6.255605	13.992267	2.728702	11.87338	2.633189	1.739493	0.980558	1.724123	13.570894	5.677042	1.789121	5.40713	1.334089	2.294439	1.530554	2.998533	2.155462	12.763961	2.101738	11.030399	2.037459	12.459689	2.528465	7.210717
s_PL_3_3	4.8899635	4.5752880000000005	8.351202	5.545882	2.1689115	1.198184	5.782163	0.0	0.0	2.790368	5.695702	0.0	0.0	0.0	2.089698	0.676399	1.6842424999999999	0.0	0.0	2.639567	0.0	0.0	0.0	0.829826	3.7604515000000003	8.621219	6.2402560000000005	0.8034399999999999	0.5674145	9.13088	0.0	0.641681	0.26310049999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.517801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.875565	4.484636	0.0	0.0	0.0	0.0	0.0	0.0	4.487407	1.3575265	6.700575499999999	1.6786474999999998	0.411464	1.1892595	4.5248415	0.0	0.0
s_PL_2_19	0.073629	0.0	0.145318	0.037059	0.0	0.0	0.0	0.0	0.529567	0.0	0.0	0.60206	20.643605	0.11201	0.036664	0.488923	0.035073	0.064317	0.120734	0.0	0.0	0.069094	0.599513	3.574267	0.23155	0.235187	0.0	0.13479	0.076007	0.0	27.981643	0.0	0.0	1.778809	0.081009	0.439359	0.239193	0.0	0.11978	0.054807	0.0	0.0	0.096091	0.223514	0.0	0.0	0.362618	2.049304	0.105282	0.0	0.0	0.557535	0.235918	1.131842	0.772585	2.9868984999999997	0.425483	0.038414	0.0	0.0	0.059798	0.118	0.0	0.0	0.0	0.186419
s_SUB_3_23	2.710365	26.428369	1.933411	3.236026	3.302058	4.160306	4.718491	20.724015	10.648098	6.810077	2.402951	25.049261	4.417282	5.524164	2.174546	2.704075	2.553252	4.145047	9.05609	3.131963	4.431566	4.74225	3.897026	5.1086	2.308428	3.280585	1.284792	1.337586	2.846737	1.119484	0.777261	0.688568	0.985169	22.016247	5.791939	5.505959	8.621537	8.172171	10.963521	5.054281	13.189408	16.619239	5.52835	7.588462	20.656866	8.314058	15.571095	13.380188	6.314372	2.95835	2.214996	14.554604	12.9926	5.78923	5.052922	9.663419	6.905842	14.919541	2.42968	3.944045	5.069007	7.969807	5.40191	7.840366	24.788432	7.128245
s_PL_9_34	4.160897	2.924346	13.42344	3.916982	0.0	0.093636	0.602273	0.0	0.0	0.207734	0.168518	0.0	0.316279	0.0	0.760012	0.820972	5.254414	0.0	0.0	0.213042	0.0	0.0	1.489021	0.0	9.074442	20.403296	0.064677	55.200421	104.206515	30.244858	27.030467	101.208287	110.131155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.259298	0.062591	0.0	0.0	0.0	0.0	0.0	0.0	0.937838	0.14687	0.0	0.0	0.078574	1.799296	0.0	0.0	0.219755	0.138691	1.017442	0.66595	0.478133	0.07731	0.202094	0.0	0.042246
s_PL_21_21	4.661022	2.6912979999999997	1.866669	2.771508	9.705466	27.795031	12.945117	4.058016	18.512122	6.50062	6.180206	43.186388	18.574193	4.782088	38.969518	40.341535	5.904605	6.48699	14.261754	73.141155	7.717755	6.3617785	24.688958	7.299588	35.870995	6.858251	19.841573	34.466576	2.233232	1.290811	1.051511	0.852315	1.170168	51.572946	11.155489	31.466184	17.743347	11.793275	6.86886	12.394092	7.779260000000001	6.191489	59.011865	35.901843	5.3107755	42.803357	20.762987	6.856824	5.029442	33.844796	21.755939	23.236934	11.0746745	50.008143	71.548348	12.728906	8.402656	9.56664	23.661965	19.21422	11.624032	12.347077	11.204413	8.948666	9.082606	74.908191
