ID	Domain	Phylum	Class	Order	Family	Genus	Species
s_PL_10_1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__ATN3	f__	g__	s__
s_PL_10_11	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__JAGPDF01	s__
s_PL_10_12	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__0-14-0-80-60-11	s__
s_PL_10_16	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__	g__	s__
s_PL_10_19	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__JACCYI01	s__
s_PL_10_2	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__X156	s__X156 sp017882745
s_PL_10_20	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__
s_PL_10_8	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__Gp7-AA6	g__Gp7-AA6	s__
s_PL_11_16	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__GMQP-bins7	s__
s_PL_11_17	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__RBG-16-49-23	s__
s_PL_11_22	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__HRBIN12	s__
s_PL_12_7	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Gp7-AA8	f__Gp7-AA8	g__	s__
s_PL_12_8	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-555	g__	s__
s_PL_13_10	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__JACPNS01	g__JACPNS01	s__
s_PL_13_2	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__UBA5189	s__
s_PL_13_7	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__Gp7-AA6	g__Gp7-AA6	s__
s_PL_13_8	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__CADDZG01	f__WHSQ01	g__WHTI01	s__WHTI01 sp016649855
s_PL_16_10	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
s_PL_16_12	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosospira	s__
s_PL_16_6	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__SPCO01	s__
s_PL_17_1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__AV80	s__
s_PL_17_15	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__CADDZG01	f__WHSQ01	g__	s__
s_PL_17_17	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__	s__
s_PL_17_18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
s_PL_17_2	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__DSTF01	f__WHTK01	g__WHTK01	s__
s_PL_17_5	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__AR37	s__
s_PL_17_7	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__UBA5189	s__
s_PL_18_1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__Polaromonas sp000688115
s_PL_18_11	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__UBA2270	s__
s_PL_18_12	d__Bacteria	p__Desulfobacterota	c__JAENJC01	o__JAENJC01	f__JAENJC01	g__JAENJC01	s__
s_PL_18_5	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polaromonas	s__
s_PL_18_9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JAAFJR01	s__
s_PL_19_14	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__JAENWH01	s__
