genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster
s_SUR_2_3.fa,89.35958894,95.6,1.7,10,4973562,13160,1_1
s_SUR_16_7.fa,77.162939,79.37,0.72,66.67,2305518,5319,2_0
s_SUR_2_5.fa,58.53928979,71.56,3.2,70,2353088,2391,3_0
s_SUR_8_1.fa,79.91848155,88.91,2.39,40,2355489,8885,4_1
s_SUR_6_2.fa,83.26048168,86.26,0.86,0,2340212,31693,5_0
s_SUR_17_2.fa,79.93643648,86.31,1.58,20,2351607,20935,6_0
s_SUR_18_1.fa,80.65695958,79.74,0,0,1915496,5419,7_0
s_SUR_22_1.fa,76.67121327,82.54,1.47,33.33,1769665,7630,8_0
s_SUR_8_11.fa,85.38259429,89.76,1.29,0,3155648,11953,9_1
s_SUR_19_3.fa,53.88116057,71.41,4.02,42.86,3244911,3948,10_0
s_SUR_24_2.fa,60.9974172,78.02,3.74,16.67,3132179,10184,11_0
s_SUR_1_1.fa,70.89911154,87.72,4.27,85.71,3757843,4351,12_0
s_SUR_8_3.fa,73.12615492,82.66,2.14,0,3621249,17073,13_0
s_SUR_24_4.fa,79.02158335,89.31,2.46,37.5,2693189,11972,14_0
s_SUR_2_8.fa,54.08213526,70.09,3.67,41.67,3272986,3355,15_0
s_SUR_24_7.fa,78.5406297,88.29,2.4,42.86,2811573,22079,16_0
s_SUR_16_8.fa,83.63306979,94.87,2.64,25,2661568,32073,17_0
s_SUR_24_5.fa,71.48718463,94.83,5.49,56.25,3037531,8672,18_0
s_SUR_8_2.fa,65.64721024,74.31,2.27,36.36,2134168,4725,19_1
s_SUR_8_5.fa,59.86276517,85.15,6.46,77.78,3833085,8457,20_1
s_SUR_2_2.fa,63.90942486,77.31,3.25,58.33,3002179,6418,20_2
s_SUR_16_9.fa,80.17277309,85.76,1.66,40,3128058,10715,21_1
s_SUR_19_2.fa,90.87709814,93.78,1.14,50,2038901,23249,22_1
s_SUR_13_1.fa,89.53203869,93.55,1.34,40,2429747,16415,23_1
s_SUR_12_4.fa,76.85339684,85.96,2.42,40,2284153,9472,24_1
s_SUR_17_3.fa,36.30555258,71.33,8.24,65.71,2573013,2643,25_0
s_SUR_18_3.fa,79.90728023,92.12,2.66,0,8277182,11873,26_0
s_SUR_11_1.fa,56.09614286,77.34,5.35,88.89,2008456,2518,27_0
s_SUR_15_6.fa,74.94253449,85.44,2.43,0,1558585,1894,28_1
s_SUR_20_5.fa,83.62974324,98.06,3.4,50,2376026,4360,28_2
s_SUR_12_8.fa,69.32276422,73.38,1.05,50,1190976,1720,28_3
s_SUR_16_2.fa,71.55262326,78.76,1.87,66.67,1910193,4918,29_0
s_SUR_18_2.fa,73.42124414,97.09,5.16,17.39,2545103,23326,30_0
s_SUR_21_5.fa,58.67423341,72.16,3.13,42.86,5166406,3511,31_0
s_SUB_1_6.fa,74.8456385,91.97,4.24,50,1924522,7119,1_1
s_SUB_8_8.fa,25.07874316,70.54,9.49,14.29,1502314,1463,1_2
s_SUB_6_2.fa,90.38910391,96.24,1.46,20,3438055,16376,2_0
s_SUB_5_10.fa,89.37576408,95.7,1.64,50,1449106,10269,3_0
s_SUB_15_1.fa,71.094725,85.3,3.36,20,3795507,6222,4_1
s_SUB_10_10.fa,41.32420844,84.56,9.56,37.5,4840834,7218,5_1
s_SUB_16_17.fa,70.69650207,88.59,4.56,83.33,5159582,12981,5_2
s_SUB_8_7.fa,71.48115775,94.71,5.18,28.57,5247556,19163,6_0
s_SUB_18_12.fa,60.33381647,75.52,3.47,40,2866919,2829,7_1
s_SUB_5_9.fa,87.4576109,94.87,1.8,25,4611157,14970,7_2
s_SUB_4_7.fa,66.62579374,70.69,1.03,0,3773793,11792,8_0
s_SUB_12_11.fa,66.56190008,74.16,2.14,100,4110558,6665,9_0
s_SUB_7_6.fa,61.2725547,82.21,4.89,50,4061458,10842,10_0
s_SUB_22_2.fa,75.03243587,95.67,4.7,33.33,5443144,31035,11_0
s_SUB_6_20.fa,67.43486697,83.11,3.78,37.5,1823342,3889,12_1
s_SUB_15_7.fa,77.17000168,86.68,2.21,25,2548513,7499,13_0
s_SUB_3_24.fa,61.58421821,72.36,2.58,50,2402223,3702,14_0
s_SUB_21_2.fa,49.85081887,71.84,4.7,16,1515360,2616,15_0
s_SUB_9_5.fa,54.72602466,70.04,3.29,6.25,1757437,5765,16_0
s_SUB_9_9.fa,80.61336005,89.68,2.56,100,1519217,17649,17_0
s_SUB_16_2.fa,64.07050974,76.37,2.72,16.67,2288416,3928,18_0
s_SUB_5_6.fa,75.22163829,83.7,2.09,50,2670555,5666,19_0
s_SUB_9_1.fa,71.26191924,74.56,1.2,50,2271368,13771,20_1
s_SUB_9_18.fa,48.34735669,83.62,7.69,25,2106053,25687,21_0
s_SUB_9_14.fa,73.08584532,79.18,1.6,60,2057449,6190,22_0
s_SUB_12_16.fa,57.5378176,71.14,2.93,0,2582815,9900,23_0
s_SUB_17_2.fa,82.39351588,97.97,3.55,28.57,2756132,16541,24_0
s_SUB_6_8.fa,55.03462201,72.9,4.44,77.78,1319229,4596,25_0
s_SUB_1_17.fa,80.01069803,88.07,1.92,25,2223159,10505,26_1
s_SUB_6_19.fa,52.26019648,78.41,5.66,21.43,2354695,5950,26_2
s_SUB_1_5.fa,67.26050908,85.3,3.85,0,3368750,20942,27_0
s_SUB_5_13.fa,79.94644443,91.11,2.56,0,3110435,148898,28_0
s_SUB_6_3.fa,78.10736287,82.64,1.14,14.29,2070854,8108,29_0
s_SUB_12_8.fa,82.36837188,98.29,3.54,16.67,6049639,18902,30_0
s_SUB_9_16.fa,83.12301095,90.98,1.95,37.5,2463640,16731,31_0
s_SUB_16_5.fa,70.65571108,81.96,2.71,50,1655305,4802,32_0
s_SUB_3_7.fa,71.88649693,92.62,4.78,42.86,3149865,13664,33_0
s_SUB_6_22.fa,81.17372721,85.23,1.08,33.33,2134811,7371,34_0
s_SUB_18_11.fa,96.43759408,99.15,0.85,0,2421038,94447,35_0
s_SUB_3_6.fa,59.79852294,74.34,3.41,50,1602085,3214,36_0
s_SUB_6_30.fa,38.91512501,70.34,7.27,57.89,1513380,2153,37_0
s_SUB_7_1.fa,66.53964914,88.56,5.13,33.33,5358190,6029,38_1
s_SUB_12_3.fa,56.85568535,77.85,4.4,0,2846751,8154,39_0
s_SUB_9_2.fa,70.99131846,74.34,0.86,0,1973527,6348,40_0
s_SUB_6_29.fa,97.74832688,96.55,0.16,0,1426370,8367,41_1
s_SUB_20_9.fa,76.51170119,93.36,4.31,57.14,2849129,24452,42_1
s_SUB_1_4.fa,79.77928712,91.09,2.73,40,3211743,24807,43_0
s_SUB_11_2.fa,90.51565047,92.74,0.93,50,2497301,6871,44_1
s_SUB_21_3.fa,79.42736525,92.27,2.78,0,3491988,10345,45_0
s_SUB_15_15.fa,92.3331204,93.73,0.85,100,2366587,8915,46_1
